Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,Sacramento Kings,W,2/26/2013,47:45,14,23,0.609,1,2,0.5,11,12,0.917,3,5,8,16,2,1,2,1,40,11
Dwyane Wade,Sacramento Kings,W,2/26/2013,45:28,19,28,0.679,1,2,0.5,0,2,0,2,6,8,7,3,2,4,1,39,5
Chris Bosh,Sacramento Kings,W,2/26/2013,41:10,5,13,0.385,0,2,0,5,6,0.833,1,7,8,2,3,4,1,3,15,1
Mario Chalmers,Sacramento Kings,W,2/26/2013,32:30,2,8,0.25,2,5,0.4,0,0,,0,1,1,4,1,0,1,4,6,11
Udonis Haslem,Sacramento Kings,W,2/26/2013,21:58,2,3,0.667,0,0,,1,2,0.5,2,2,4,2,1,0,0,3,5,1
LeBron James,Memphis Grizzlies,W,3/1/2013,42:06,4,14,0.286,2,4,0.5,8,12,0.667,1,7,8,10,2,1,1,1,18,-1
Dwyane Wade,Memphis Grizzlies,W,3/1/2013,35:42,9,16,0.563,0,1,0,4,6,0.667,2,2,4,8,2,1,2,2,22,14
Chris Bosh,Memphis Grizzlies,W,3/1/2013,32:31,6,12,0.5,0,1,0,1,2,0.5,0,6,6,1,0,0,3,2,13,4
Mario Chalmers,Memphis Grizzlies,W,3/1/2013,18:26,3,6,0.5,2,3,0.667,1,1,1,0,0,0,2,1,0,1,3,9,-2
Udonis Haslem,Memphis Grizzlies,W,3/1/2013,16:01,2,5,0.4,0,0,,0,0,,1,1,2,0,0,0,0,1,4,1
LeBron James,New York Knicks,W,3/3/2013,42:50,12,23,0.522,2,6,0.333,3,6,0.5,3,8,11,7,3,1,2,1,29,9
Dwyane Wade,New York Knicks,W,3/3/2013,36:56,8,16,0.5,0,1,0,4,5,0.8,2,6,8,8,1,0,4,0,20,8
Chris Bosh,New York Knicks,W,3/3/2013,36:35,7,17,0.412,0,1,0,2,3,0.667,1,0,1,0,1,0,2,4,16,2
Mario Chalmers,New York Knicks,W,3/3/2013,29:35,2,5,0.4,1,4,0.25,1,1,1,1,3,4,1,2,0,4,4,6,9
Udonis Haslem,New York Knicks,W,3/3/2013,16:17,2,4,0.5,0,0,,0,0,,1,5,6,0,0,0,0,2,4,9
Dwyane Wade,Minnesota Timberwolves,W,3/4/2013,37:42,15,23,0.652,0,0,,2,3,0.667,2,5,7,10,1,0,5,1,32,23
LeBron James,Minnesota Timberwolves,W,3/4/2013,34:53,9,16,0.563,1,4,0.25,1,1,1,1,9,10,4,3,2,7,3,20,10
Chris Bosh,Minnesota Timberwolves,W,3/4/2013,31:07,3,5,0.6,0,1,0,5,6,0.833,2,7,9,1,3,0,1,2,11,13
Mario Chalmers,Minnesota Timberwolves,W,3/4/2013,22:39,1,4,0.25,1,4,0.25,1,2,0.5,0,1,1,2,1,0,3,0,4,10
Udonis Haslem,Minnesota Timberwolves,W,3/4/2013,17:08,1,1,1,0,0,,0,0,,0,5,5,0,0,0,3,3,2,8
Dwyane Wade,Orlando Magic,W,3/6/2013,38:39,10,16,0.625,0,1,0,4,4,1,3,3,6,3,4,1,2,2,24,5
LeBron James,Orlando Magic,W,3/6/2013,38:13,7,14,0.5,1,6,0.167,11,12,0.917,0,3,3,2,0,1,2,0,26,8
Chris Bosh,Orlando Magic,W,3/6/2013,33:22,5,15,0.333,0,1,0,7,8,0.875,2,8,10,3,2,2,4,1,17,5
Mario Chalmers,Orlando Magic,W,3/6/2013,23:05,2,8,0.25,1,6,0.167,0,0,,0,1,1,5,1,0,0,4,5,1
Udonis Haslem,Orlando Magic,W,3/6/2013,16:51,2,2,1,0,0,,0,0,,1,3,4,0,0,0,0,1,4,-1
Dwyane Wade,Philadephia 76ers,W,3/8/2013,35:33,9,16,0.563,0,1,0,4,4,1,0,2,2,4,3,1,4,1,22,-9
