Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Jones,3:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Juwan Howard,3:25,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,+5
Joel Anthony,3:25,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+5
Shane Battier,23:51,1,5,.200,1,5,.200,0,0,,1,0,1,2,1,0,0,2,3,+7
Norris Cole,20:41,3,5,.600,3,4,.750,0,0,,0,0,0,4,0,0,1,4,9,+12
Ray Allen,20:09,4,7,.571,4,6,.667,0,0,,0,1,1,1,1,0,3,0,12,+7
Chris Andersen,16:47,3,5,.600,0,0,,1,2,.500,0,1,1,0,0,3,0,1,7,+6
Rashard Lewis,15:04,3,6,.500,3,5,.600,2,4,.500,0,3,3,0,0,0,0,0,11,+3
Juwan Howard,3:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-6
Joel Anthony,1:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
James Jones,1:48,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Shane Battier,35:24,2,4,.500,2,4,.500,0,0,,0,4,4,3,1,2,1,2,6,-9
Ray Allen,28:01,3,8,.375,1,4,.250,0,0,,0,2,2,0,1,1,0,0,7,-4
Chris Andersen,12:34,2,5,.400,0,0,,0,0,,2,1,3,0,0,0,0,2,4,-8
Norris Cole,11:06,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-7
Shane Battier,28:08,3,5,.600,3,5,.600,0,0,,0,0,0,2,0,0,0,2,9,+12
Norris Cole,26:54,5,6,.833,2,3,.667,0,0,,1,2,3,2,1,0,1,3,12,+10
Ray Allen,23:07,3,5,.600,0,1,.000,0,0,,1,1,2,4,2,0,0,1,6,+20
Chris Andersen,17:01,2,3,.667,0,0,,1,1,1.000,0,1,1,1,1,0,0,3,5,+4
Rashard Lewis,3:24,1,1,1.000,1,1,1.000,0,2,.000,0,0,0,0,0,0,0,1,3,-3
Juwan Howard,3:24,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-3
James Jones,3:24,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-3
Joel Anthony,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-3
Ray Allen,30:50,6,12,.500,2,5,.400,0,0,,0,3,3,5,0,0,4,1,14,-15
Shane Battier,27:09,2,5,.400,2,4,.500,0,0,,0,2,2,1,3,1,0,0,6,-15
Chris Andersen,17:42,1,1,1.000,0,0,,2,4,.500,0,5,5,1,0,1,1,2,4,-3
James Jones,5:26,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,+2
Joel Anthony,3:43,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,0
Shane Battier,28:18,1,5,.200,1,4,.250,2,2,1.000,0,8,8,2,0,0,2,5,5,-5
Ray Allen,26:12,5,7,.714,1,1,1.000,5,5,1.000,0,1,1,2,2,0,2,0,16,-8
James Jones,10:20,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,3,0,+1
Chris Andersen,10:00,2,3,.667,0,0,,2,6,.333,1,1,2,1,0,0,0,3,6,-3
Shane Battier,27:34,2,5,.400,0,3,.000,0,0,,0,4,4,0,0,2,1,3,4,+2
James Jones,21:08,1,6,.167,1,6,.167,0,1,.000,0,1,1,1,0,0,0,2,3,+5
Norris Cole,20:56,3,6,.500,2,2,1.000,0,0,,1,0,1,5,1,0,4,0,8,+3
Chris Andersen,18:34,3,5,.600,0,0,,2,2,1.000,3,5,8,1,0,1,0,2,8,+6
Joel Anthony,6:44,0,0,,0,0,,0,0,,0,1,1,0,0,3,2,0,0,0
Ray Allen,27:17,3,8,.375,3,3,1.000,2,2,1.000,0,2,2,2,0,0,2,3,11,+12
Rashard Lewis,26:05,6,10,.600,2,4,.500,0,0,,1,6,7,3,1,0,0,0,14,+13
Shane Battier,25:59,2,4,.500,2,2,1.000,2,2,1.000,0,0,0,5,1,0,0,1,8,-4
Chris Andersen,25:21,2,7,.286,0,0,,3,4,.750,4,11,15,0,0,2,0,1,7,+11
Norris Cole,24:15,5,12,.417,2,4,.500,1,2,.500,2,2,4,2,0,0,1,4,13,+15
