G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
65,Sat Mar 16 2013,03/16/2013,Charlotte Bobcats,W,105,88,36,29,W 2
66,Mon Mar 18 2013,03/18/2013,Miami Heat,L,103,105,36,30,L 1
67,Wed Mar 20 2013,03/20/2013,New Orleans Hornets,L,86,87,36,31,L 2
68,Fri Mar 22 2013,03/22/2013,Dallas Mavericks,L,94,104,36,32,L 3
69,Sat Mar 23 2013,03/23/2013,Memphis Grizzlies,L,106,110,36,33,L 4
70,Tue Mar 26 2013,03/26/2013,New York Knicks,L,85,100,36,34,L 5
71,Wed Mar 27 2013,03/27/2013,Cleveland Cavaliers,W,93,92,37,34,W 1
72,Fri Mar 29 2013,03/29/2013,Atlanta Hawks,W,118,107,38,34,W 2
73,Sun Mar 31 2013,03/31/2013,New York Knicks,L,89,108,38,35,L 1
74,Mon Apr 1 2013,04/01/2013,Minnesota Timberwolves,L,100,110,38,36,L 2
75,Wed Apr 3 2013,04/03/2013,Detroit Pistons,W,98,93,39,36,W 1
76,Fri Apr 5 2013,04/05/2013,Cleveland Cavaliers,L,91,97,39,37,L 1
77,Sun Apr 7 2013,04/07/2013,Washington Wizards,W,107,96,40,37,W 1
78,Wed Apr 10 2013,04/10/2013,Brooklyn Nets,L,93,101,40,38,L 1
79,Fri Apr 12 2013,04/12/2013,Miami Heat,L,101,109,40,39,L 2
80,Sat Apr 13 2013,04/13/2013,Orlando Magic,W,120,88,41,39,W 1
81,Wed Apr 17 2013,04/17/2013,Toronto Raptors,L,90,114,41,40,L 1
