G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
62,Wed Mar 13 2013,03/13/2013,Indiana Pacers,L,91,107,22,40,L 1
63,Fri Mar 15 2013,03/15/2013,Houston Rockets,L,100,108,22,41,L 2
64,Sun Mar 17 2013,03/17/2013,New Orleans Hornets,W,97,95,23,41,W 1
65,Mon Mar 18 2013,03/18/2013,Memphis Grizzlies,L,77,92,23,42,L 1
66,Thu Mar 21 2013,03/21/2013,Sacramento Kings,L,98,101,23,43,L 2
67,Fri Mar 22 2013,03/22/2013,Phoenix Suns,W,117,86,24,43,W 1
68,Sun Mar 24 2013,03/24/2013,Chicago Bulls,L,97,104,24,44,L 1
69,Tue Mar 26 2013,03/26/2013,Detroit Pistons,W,105,82,25,44,W 1
70,Wed Mar 27 2013,03/27/2013,Los Angeles Lakers,L,117,120,25,45,L 1
71,Fri Mar 29 2013,03/29/2013,Oklahoma City Thunder,W,101,93,26,45,W 1
72,Sat Mar 30 2013,03/30/2013,Memphis Grizzlies,L,86,99,26,46,L 1
73,Mon Apr 1 2013,04/01/2013,Boston Celtics,W,110,100,27,46,W 1
74,Wed Apr 3 2013,04/03/2013,Milwaukee Bucks,W,107,98,28,46,W 2
75,Fri Apr 5 2013,04/05/2013,Toronto Raptors,L,93,95,28,47,L 1
76,Sat Apr 6 2013,04/06/2013,Detroit Pistons,W,107,101,29,47,W 1
77,Tue Apr 9 2013,04/09/2013,Golden State Warriors,L,89,105,29,48,L 1
78,Wed Apr 10 2013,04/10/2013,Los Angeles Clippers,L,95,111,29,49,L 2
79,Fri Apr 12 2013,04/12/2013,Utah Jazz,L,100,107,29,50,L 3
80,Sat Apr 13 2013,04/13/2013,Phoenix Suns,W,105,93,30,50,W 1
81,Mon Apr 15 2013,04/15/2013,Utah Jazz,L,80,96,30,51,L 1
82,Wed Apr 17 2013,04/17/2013,San Antonio Spurs,W,108,95,31,51,W 1
