G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Wed Oct 31 2012,10/31/2012,Toronto Raptors,W,90,88,1,0,W 1
2,Fri Nov 2 2012,11/02/2012,Charlotte Bobcats,L,89,90,1,1,L 1
3,Sat Nov 3 2012,11/03/2012,Sacramento Kings,W,106,98,2,1,W 1
4,Mon Nov 5 2012,11/05/2012,San Antonio Spurs,L,79,101,2,2,L 1
5,Wed Nov 7 2012,11/07/2012,Atlanta Hawks,L,86,89,2,3,L 2
6,Fri Nov 9 2012,11/09/2012,Minnesota Timberwolves,L,94,96,2,4,L 3
7,Sat Nov 10 2012,11/10/2012,Washington Wizards,W,89,85,3,4,W 1
8,Tue Nov 13 2012,11/13/2012,Toronto Raptors,L,72,74,3,5,L 1
9,Wed Nov 14 2012,11/14/2012,Milwaukee Bucks,L,85,99,3,6,L 2
10,Fri Nov 16 2012,11/16/2012,Dallas Mavericks,W,103,83,4,6,W 1
11,Sun Nov 18 2012,11/18/2012,New York Knicks,L,76,88,4,7,L 1
12,Mon Nov 19 2012,11/19/2012,Washington Wizards,W,96,89,5,7,W 1
13,Wed Nov 21 2012,11/21/2012,New Orleans Hornets,W,115,107,6,7,W 2
14,Fri Nov 23 2012,11/23/2012,San Antonio Spurs,L,97,104,6,8,L 1
15,Tue Nov 27 2012,11/27/2012,Los Angeles Lakers,W,79,77,7,8,W 1
16,Fri Nov 30 2012,11/30/2012,Sacramento Kings,W,97,92,8,8,W 2
17,Sat Dec 1 2012,12/01/2012,Golden State Warriors,L,92,103,8,9,L 1
18,Tue Dec 4 2012,12/04/2012,Chicago Bulls,W,80,76,9,9,W 1
19,Wed Dec 5 2012,12/05/2012,Portland Trail Blazers,W,99,92,10,9,W 2
20,Fri Dec 7 2012,12/07/2012,Denver Nuggets,L,89,92,10,10,L 1
21,Sun Dec 9 2012,12/09/2012,Oklahoma City Thunder,L,93,104,10,11,L 2
22,Wed Dec 12 2012,12/12/2012,Cleveland Cavaliers,W,96,81,11,11,W 1
23,Fri Dec 14 2012,12/14/2012,Philadelphia 76ers,W,95,85,12,11,W 2
24,Sat Dec 15 2012,12/15/2012,Detroit Pistons,W,88,77,13,11,W 3
