Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chicago Bulls,G,Jimmy Butler,Detroit Pistons,W,03/31/2013,38:42,4,7,0.571,1,2,0.5,7,9,0.778,1,3,4,1,5,1,1,4,16,-3
Chicago Bulls,G,Kirk Hinrich,Detroit Pistons,W,03/31/2013,34:06,1,5,0.2,0,2,0.0,1,1,1.0,0,1,1,6,3,0,2,2,3,-5
Chicago Bulls,F,Luol Deng,Washington Wizards,L,04/02/2013,41:41,5,15,0.333,0,3,0.0,3,3,1.0,2,6,8,2,2,0,2,3,13,0
Chicago Bulls,F,Carlos Boozer,Washington Wizards,L,04/02/2013,34:55,9,18,0.5,0,0,0.0,1,1,1.0,1,11,12,5,0,0,2,3,19,-5
Chicago Bulls,C,Nazr Mohammed,Washington Wizards,L,04/02/2013,36:00,5,12,0.417,0,1,0.0,2,2,1.0,7,5,12,3,0,1,2,4,12,-5
Chicago Bulls,G,Jimmy Butler,Washington Wizards,L,04/02/2013,41:46,4,13,0.308,2,6,0.333,3,6,0.5,2,2,4,4,2,1,1,2,13,-5
Chicago Bulls,G,Kirk Hinrich,Washington Wizards,L,04/02/2013,25:43,3,8,0.375,2,4,0.5,0,0,0.0,0,2,2,4,2,0,0,4,8,5
Chicago Bulls,F,Luol Deng,Brooklyn Nets,W,04/04/2013,42:23,8,15,0.533,0,1,0.0,2,2,1.0,3,4,7,3,1,0,3,2,18,-2
Chicago Bulls,F,Carlos Boozer,Brooklyn Nets,W,04/04/2013,45:02,12,22,0.545,0,0,0.0,5,8,0.625,5,13,18,3,0,0,3,4,29,1
Chicago Bulls,C,Nazr Mohammed,Brooklyn Nets,W,04/04/2013,36:41,2,6,0.333,0,0,0.0,0,0,0.0,3,6,9,1,0,3,1,5,4,6
Chicago Bulls,G,Jimmy Butler,Brooklyn Nets,W,04/04/2013,43:02,7,15,0.467,1,2,0.5,1,2,0.5,2,8,10,3,2,1,5,2,16,7
Chicago Bulls,G,Kirk Hinrich,Brooklyn Nets,W,04/04/2013,33:21,4,11,0.364,2,4,0.5,0,0,0.0,0,0,0,6,1,0,0,6,10,-7
Chicago Bulls,F,Luol Deng,Orlando Magic,W,04/05/2013,41:21,5,18,0.278,2,5,0.4,7,7,1.0,1,3,4,2,1,1,1,0,19,4
Chicago Bulls,F,Carlos Boozer,Orlando Magic,W,04/05/2013,39:02,6,16,0.375,0,0,0.0,0,0,0.0,1,8,9,4,2,0,6,3,12,1
Chicago Bulls,C,Nazr Mohammed,Orlando Magic,W,04/05/2013,31:21,1,6,0.167,0,0,0.0,3,4,0.75,4,7,11,1,0,3,0,2,5,-1
Chicago Bulls,G,Jimmy Butler,Orlando Magic,W,04/05/2013,42:39,5,13,0.385,0,2,0.0,2,2,1.0,2,1,3,1,2,0,0,0,12,-4
Chicago Bulls,G,Kirk Hinrich,Orlando Magic,W,04/05/2013,34:21,5,9,0.556,2,5,0.4,1,1,1.0,0,3,3,4,2,1,1,1,13,-5
Chicago Bulls,F,Jimmy Butler,Detroit Pistons,L,04/07/2013,44:55,5,8,0.625,2,2,1.0,2,4,0.5,2,2,4,2,1,1,1,0,14,-14
Chicago Bulls,F,Carlos Boozer,Detroit Pistons,L,04/07/2013,40:50,10,18,0.556,0,0,0.0,1,1,1.0,1,9,10,3,2,0,3,3,21,-8
Chicago Bulls,C,Joakim Noah,Detroit Pistons,L,04/07/2013,21:25,4,4,1.0,0,0,0.0,5,8,0.625,2,5,7,3,1,1,1,1,13,7
Chicago Bulls,G,Kirk Hinrich,Detroit Pistons,L,04/07/2013,37:49,2,8,0.25,0,3,0.0,3,4,0.75,1,4,5,8,3,0,4,5,7,-5
Chicago Bulls,G,Nate Robinson,Detroit Pistons,L,04/07/2013,34:05,8,19,0.421,1,5,0.2,1,2,0.5,0,2,2,1,0,0,1,5,18,-8
Chicago Bulls,F,Jimmy Butler,Toronto Raptors,L,04/09/2013,48:00,10,12,0.833,3,3,1.0,5,6,0.833,2,5,7,2,2,0,2,3,28,-3
Chicago Bulls,F,Carlos Boozer,Toronto Raptors,L,04/09/2013,43:52,7,20,0.35,0,0,0.0,5,6,0.833,2,9,11,8,0,0,4,2,19,-10
Chicago Bulls,C,Nazr Mohammed,Toronto Raptors,L,04/09/2013,25:14,3,9,0.333,0,0,0.0,0,0,0.0,6,4,10,0,0,1,1,2,6,-7
Chicago Bulls,G,Marco Belinelli,Toronto Raptors,L,04/09/2013,18:37,3,7,0.429,1,2,0.5,1,1,1.0,0,0,0,1,0,0,0,1,8,-16
Chicago Bulls,G,Kirk Hinrich,Toronto Raptors,L,04/09/2013,32:27,2,5,0.4,1,2,0.5,0,0,0.0,0,3,3,6,0,0,0,4,5,0
Chicago Bulls,F,Luol Deng,New York Knicks,W,04/11/2013,33:20,5,11,0.455,1,3,0.333,5,6,0.833,2,6,8,1,0,1,0,5,16,-7
Chicago Bulls,F,Jimmy Butler,New York Knicks,W,04/11/2013,50:17,9,15,0.6,2,3,0.667,2,5,0.4,7,7,14,2,3,3,0,4,22,1
Chicago Bulls,C,Carlos Boozer,New York Knicks,W,04/11/2013,46:37,3,11,0.273,0,0,0.0,7,8,0.875,0,15,15,2,2,2,5,5,13,9
Chicago Bulls,G,Marco Belinelli,New York Knicks,W,04/11/2013,25:30,3,7,0.429,0,2,0.0,1,1,1.0,0,3,3,3,0,0,0,1,7,-7
Chicago Bulls,G,Kirk Hinrich,New York Knicks,W,04/11/2013,50:11,3,11,0.273,1,6,0.167,4,4,1.0,1,5,6,5,1,2,1,2,11,6
Chicago Bulls,F,Luol Deng,Toronto Raptors,L,04/12/2013,33:36,3,9,0.333,1,4,0.25,3,4,0.75,0,1,1,8,1,0,0,0,10,-8
Chicago Bulls,F,Carlos Boozer,Toronto Raptors,L,04/12/2013,31:35,9,19,0.474,0,0,0.0,1,1,1.0,1,11,12,0,0,0,2,6,19,1
Chicago Bulls,C,Nazr Mohammed,Toronto Raptors,L,04/12/2013,42:58,6,12,0.5,0,0,0.0,4,6,0.667,5,8,13,1,1,1,1,3,16,-5
Chicago Bulls,G,Jimmy Butler,Toronto Raptors,L,04/12/2013,36:35,2,6,0.333,1,2,0.5,2,2,1.0,0,3,3,4,1,0,1,0,7,-5
Chicago Bulls,G,Kirk Hinrich,Toronto Raptors,L,04/12/2013,19:23,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,1,2,0,4,2,3,-8
Chicago Bulls,F,Marco Belinelli,Miami Heat,L,04/14/2013,29:38,2,9,0.222,1,5,0.2,2,3,0.667,1,0,1,3,0,0,0,2,7,-22
Chicago Bulls,F,Luol Deng,Miami Heat,L,04/14/2013,35:10,8,18,0.444,2,6,0.333,1,1,1.0,0,2,2,3,1,0,3,3,19,-13
