Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Phoenix Suns,Los Angeles Lakers,L,11/16/2012,240:00,45,92,0.489,5,14,0.357,7,15,0.467,12,26,38,27,8,8,15,25,102,-12
Los Angeles Lakers,Phoenix Suns,W,11/16/2012,240:00,42,89,0.472,8,21,0.381,22,28,0.786,17,31,48,25,7,9,11,15,114,12
Toronto Raptors,Boston Celtics,L,11/17/2012,240:00,30,70,0.429,8,22,0.364,21,31,0.677,9,26,35,22,7,4,15,23,89,-18
Boston Celtics,Toronto Raptors,W,11/17/2012,240:00,43,76,0.566,6,15,0.4,15,19,0.789,7,30,37,37,7,2,13,23,107,18
Los Angeles Clippers,Chicago Bulls,W,11/17/2012,240:00,37,75,0.493,5,16,0.313,22,30,0.733,10,31,41,21,10,10,12,20,101,21
Chicago Bulls,Los Angeles Clippers,L,11/17/2012,240:00,30,89,0.337,2,14,0.143,18,22,0.818,21,24,45,18,7,4,15,20,80,-21
Washington Wizards,Utah Jazz,L,11/17/2012,240:00,31,85,0.365,5,16,0.313,9,12,0.75,16,28,44,18,10,6,15,20,76,-7
Utah Jazz,Washington Wizards,W,11/17/2012,240:00,31,82,0.378,2,9,0.222,19,27,0.704,26,34,60,18,7,6,17,13,83,7
Memphis Grizzlies,Charlotte Bobcats,W,11/17/2012,240:00,31,80,0.388,2,14,0.143,30,34,0.882,12,32,44,17,10,7,14,23,94,7
Charlotte Bobcats,Memphis Grizzlies,L,11/17/2012,240:00,32,85,0.376,4,13,0.308,19,28,0.679,15,31,46,17,7,5,16,25,87,-7
Dallas Mavericks,Cleveland Cavaliers,W,11/17/2012,240:00,38,74,0.514,10,23,0.435,17,20,0.85,8,34,42,26,6,14,20,19,103,8
Cleveland Cavaliers,Dallas Mavericks,L,11/17/2012,240:00,36,96,0.375,8,25,0.32,15,20,0.75,13,25,38,21,12,4,11,15,95,-8
New Orleans Hornets,Milwaukee Bucks,L,11/17/2012,240:00,41,77,0.532,10,21,0.476,21,22,0.955,8,28,36,32,4,2,19,26,113,-4
Milwaukee Bucks,New Orleans Hornets,W,11/17/2012,240:00,43,93,0.462,13,25,0.52,18,24,0.75,16,25,41,28,9,4,11,18,117,4
San Antonio Spurs,Denver Nuggets,W,11/17/2012,240:00,47,88,0.534,16,27,0.593,16,20,0.8,14,26,40,33,11,6,14,21,126,26
Denver Nuggets,San Antonio Spurs,L,11/17/2012,240:00,39,78,0.5,4,11,0.364,18,26,0.692,12,27,39,19,8,2,21,19,100,-26
Phoenix Suns,Miami Heat,L,11/17/2012,240:00,34,79,0.43,5,18,0.278,15,21,0.714,9,29,38,16,13,3,16,18,88,-9
Miami Heat,Phoenix Suns,W,11/17/2012,240:00,38,71,0.535,8,19,0.421,13,19,0.684,4,32,36,20,10,3,19,21,97,9
New York Knicks,Indiana Pacers,W,11/18/2012,240:00,33,90,0.367,7,25,0.28,15,19,0.789,15,33,48,19,9,4,8,15,88,12
Indiana Pacers,New York Knicks,L,11/18/2012,240:00,28,71,0.394,8,20,0.4,12,18,0.667,9,38,47,21,4,7,19,18,76,-12
Toronto Raptors,Orlando Magic,W,11/18/2012,240:00,38,80,0.475,7,18,0.389,14,23,0.609,10,30,40,22,8,6,10,21,97,11
Orlando Magic,Toronto Raptors,L,11/18/2012,240:00,32,80,0.4,4,13,0.308,18,21,0.857,8,32,40,18,2,1,15,22,86,-11
Philadelphia 76ers,Cleveland Cavaliers,W,11/18/2012,240:00,34,80,0.425,9,20,0.45,9,12,0.75,9,32,41,27,8,9,11,15,86,7
Cleveland Cavaliers,Philadelphia 76ers,L,11/18/2012,240:00,30,84,0.357,5,20,0.25,14,15,0.933,18,30,48,14,6,4,15,16,79,-7
Sacramento Kings,Brooklyn Nets,L,11/18/2012,240:00,37,80,0.463,6,18,0.333,10,19,0.526,15,27,42,13,6,4,17,24,90,-9
Brooklyn Nets,Sacramento Kings,W,11/18/2012,240:00,36,75,0.48,5,17,0.294,22,25,0.88,7,26,33,22,8,6,10,18,99,9
Oklahoma City Thunder,Golden State Warriors,W,11/18/2012,240:00,42,83,0.506,13,20,0.65,22,26,0.846,10,30,40,31,9,3,10,16,119,10
Golden State Warriors,Oklahoma City Thunder,L,11/18/2012,240:00,43,82,0.524,5,16,0.313,18,22,0.818,8,27,35,23,8,4,13,18,109,-10
Detroit Pistons,Boston Celtics,W,11/18/2012,240:00,39,72,0.542,4,11,0.364,21,26,0.808,7,32,39,23,8,1,16,22,103,20
Boston Celtics,Detroit Pistons,L,11/18/2012,240:00,32,71,0.451,4,17,0.235,15,19,0.789,7,23,30,12,7,0,17,21,83,-20
Portland Trail Blazers,Chicago Bulls,W,11/18/2012,240:00,39,79,0.494,9,22,0.409,15,20,0.75,10,24,34,15,8,1,16,17,102,8
Chicago Bulls,Portland Trail Blazers,L,11/18/2012,240:00,37,75,0.493,4,16,0.25,16,18,0.889,6,29,35,25,9,3,19,20,94,-8
Los Angeles Lakers,Houston Rockets,W,11/18/2012,240:00,46,85,0.541,9,20,0.45,18,28,0.643,9,32,41,27,10,3,13,15,119,11
Houston Rockets,Los Angeles Lakers,L,11/18/2012,240:00,44,90,0.489,9,23,0.391,11,18,0.611,11,31,42,30,8,1,15,22,108,-11
Washington Wizards,Indiana Pacers,L,11/19/2012,240:00,31,87,0.356,4,17,0.235,23,31,0.742,14,22,36,13,10,2,10,27,89,-7
Indiana Pacers,Washington Wizards,W,11/19/2012,240:00,34,70,0.486,3,19,0.158,25,29,0.862,8,38,46,20,5,10,20,27,96,7
Milwaukee Bucks,Charlotte Bobcats,L,11/19/2012,240:00,44,93,0.473,2,16,0.125,8,11,0.727,9,30,39,26,5,12,14,27,98,-4
Charlotte Bobcats,Milwaukee Bucks,W,11/19/2012,240:00,36,82,0.439,3,11,0.273,27,30,0.9,11,33,44,22,7,5,16,14,102,4
Orlando Magic,Atlanta Hawks,L,11/19/2012,240:00,31,82,0.378,2,10,0.2,8,14,0.571,11,44,55,17,6,5,19,19,72,-9
Atlanta Hawks,Orlando Magic,W,11/19/2012,240:00,34,89,0.382,5,25,0.2,8,13,0.615,11,37,48,18,12,4,13,18,81,9
Memphis Grizzlies,Denver Nuggets,L,11/19/2012,240:00,36,78,0.462,6,17,0.353,14,17,0.824,12,21,33,23,10,4,17,20,92,-5
Denver Nuggets,Memphis Grizzlies,W,11/19/2012,240:00,36,81,0.444,5,15,0.333,20,28,0.714,21,26,47,21,9,3,17,15,97,5
Golden State Warriors,Dallas Mavericks,W,11/19/2012,265:00,37,91,0.407,9,24,0.375,22,30,0.733,19,43,62,19,10,2,20,24,105,4
Dallas Mavericks,Golden State Warriors,L,11/19/2012,265:00,37,86,0.43,10,21,0.476,17,24,0.708,7,36,43,24,12,11,16,22,101,-4
San Antonio Spurs,Los Angeles Clippers,L,11/19/2012,240:00,29,82,0.354,6,20,0.3,23,28,0.821,13,29,42,16,7,3,13,19,87,-5
Los Angeles Clippers,San Antonio Spurs,W,11/19/2012,240:00,40,85,0.471,1,12,0.083,11,19,0.579,17,35,52,13,7,7,17,20,92,5
Utah Jazz,Houston Rockets,W,11/19/2012,240:00,37,92,0.402,9,21,0.429,19,23,0.826,14,41,55,30,4,11,14,23,102,11
Houston Rockets,Utah Jazz,L,11/19/2012,240:00,30,86,0.349,7,21,0.333,24,31,0.774,15,34,49,18,4,9,14,22,91,-11
Toronto Raptors,Philadelphia 76ers,L,11/20/2012,240:00,37,82,0.451,4,16,0.25,20,29,0.69,12,36,48,28,2,5,11,20,98,-8
Philadelphia 76ers,Toronto Raptors,W,11/20/2012,240:00,40,85,0.471,9,24,0.375,17,19,0.895,9,32,41,25,6,10,8,23,106,8
New York Knicks,New Orleans Hornets,W,11/20/2012,240:00,37,83,0.446,14,36,0.389,14,19,0.737,13,36,49,19,6,3,10,20,102,22
New Orleans Hornets,New York Knicks,L,11/20/2012,240:00,29,69,0.42,8,18,0.444,14,21,0.667,5,31,36,16,2,3,13,21,80,-22
Los Angeles Lakers,Brooklyn Nets,W,11/20/2012,240:00,35,73,0.479,6,21,0.286,19,37,0.514,8,35,43,23,5,5,11,18,95,5
Brooklyn Nets,Los Angeles Lakers,L,11/20/2012,240:00,34,82,0.415,7,23,0.304,15,21,0.714,14,32,46,24,7,3,13,26,90,-5
Toronto Raptors,Charlotte Bobcats,L,11/21/2012,240:00,37,80,0.463,9,23,0.391,14,20,0.7,9,27,36,23,5,8,14,25,97,-1
Charlotte Bobcats,Toronto Raptors,W,11/21/2012,240:00,36,86,0.419,3,19,0.158,23,28,0.821,9,28,37,21,7,9,12,21,98,1
Orlando Magic,Detroit Pistons,W,11/21/2012,240:00,36,83,0.434,5,20,0.25,13,18,0.722,9,44,53,24,3,5,14,23,90,16
Detroit Pistons,Orlando Magic,L,11/21/2012,240:00,28,85,0.329,3,17,0.176,15,22,0.682,13,35,48,15,5,2,14,16,74,-16
Philadelphia 76ers,Cleveland Cavaliers,L,11/21/2012,240:00,31,86,0.36,4,17,0.235,17,22,0.773,11,28,39,18,12,11,7,16,83,-9
Cleveland Cavaliers,Philadelphia 76ers,W,11/21/2012,240:00,35,86,0.407,13,23,0.565,9,14,0.643,15,40,55,17,3,6,16,14,92,9
New Orleans Hornets,Indiana Pacers,L,11/21/2012,265:00,39,92,0.424,6,10,0.6,23,27,0.852,16,32,48,17,3,7,9,26,107,-8
Indiana Pacers,New Orleans Hornets,W,11/21/2012,265:00,40,92,0.435,15,27,0.556,20,28,0.714,17,32,49,26,6,16,8,24,115,8
San Antonio Spurs,Boston Celtics,W,11/21/2012,240:00,45,77,0.584,8,16,0.5,14,19,0.737,6,35,41,26,8,2,17,17,112,12
Boston Celtics,San Antonio Spurs,L,11/21/2012,240:00,41,77,0.532,3,8,0.375,15,17,0.882,1,24,25,21,9,5,12,18,100,-12
Washington Wizards,Atlanta Hawks,L,11/21/2012,265:00,38,89,0.427,7,20,0.35,17,24,0.708,19,39,58,20,8,6,20,27,100,-1
Atlanta Hawks,Washington Wizards,W,11/21/2012,265:00,40,92,0.435,9,25,0.36,12,21,0.571,10,27,37,30,12,5,13,25,101,1
Milwaukee Bucks,Miami Heat,L,11/21/2012,265:00,46,109,0.422,5,29,0.172,9,12,0.75,16,31,47,18,9,3,11,21,106,-7
Miami Heat,Milwaukee Bucks,W,11/21/2012,265:00,41,86,0.477,8,18,0.444,23,33,0.697,12,42,54,25,7,4,15,13,113,7
Oklahoma City Thunder,Los Angeles Clippers,W,11/21/2012,265:00,36,79,0.456,11,23,0.478,34,39,0.872,12,32,44,20,12,5,19,24,117,6
Los Angeles Clippers,Oklahoma City Thunder,L,11/21/2012,265:00,40,93,0.43,7,20,0.35,24,33,0.727,17,28,45,19,16,5,14,27,111,-6
Houston Rockets,Chicago Bulls,W,11/21/2012,240:00,32,74,0.432,7,19,0.368,22,31,0.71,10,35,45,15,8,6,23,18,93,4
