player	team	fgm	fga	fgp	fg3m	fg3a	fg3p	ftm	fta	ftp	oreb	dreb	reb	ast	stl	blk	tovr	pf	pts	plus_minus
"Tyreke Evans"	"New Orleans Hornets"	168	410	0.4097560975609756	7	40	0.175	119	144	0.8263888888888888	35	126	161	151	42	10	76	79	462	-47
"Tyshawn Taylor"	"New Jersey Nets"	31	91	0.3406593406593407	3	12	0.25	24	30	0.8	3	12	15	36	12	1	31	29	89	-133
"Tyson Chandler"	"New York Knicks"	54	97	0.5567010309278351	0	0	0.0	37	59	0.6271186440677966	54	96	150	25	12	26	21	47	145	-96
"Udonis Haslem"	"Miami Heat"	27	70	0.3857142857142857	0	0	0.0	15	27	0.5555555555555556	23	50	73	6	5	8	11	45	69	-110
"Vander Blue"	"Boston Celtics"	1	2	0.5	0	0	0.0	0	2	0.0	0	2	2	1	0	0	2	0	2	6
"Viacheslav Kravtsov"	"Phoenix Suns"	7	12	0.5833333333333334	0	0	0.0	4	8	0.5	7	6	13	1	0	1	6	7	18	-34
"Victor Claver"	"Portland Trail Blazers"	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-1
"Victor Oladipo"	"Orlando Magic"	206	497	0.414486921529175	38	129	0.2945736434108527	137	180	0.7611111111111111	25	163	188	166	65	32	138	123	587	-239
"Vince Carter"	"Dallas Mavericks"	165	412	0.4004854368932039	65	180	0.3611111111111111	84	100	0.84	30	109	139	121	29	17	63	106	479	-19
"Vitor Faverani"	"Boston Celtics"	60	137	0.4379562043795621	12	38	0.3157894736842105	24	37	0.6486486486486487	41	79	120	15	12	27	39	74	156	-96
"Wayne Ellington"	"Dallas Mavericks"	30	76	0.3947368421052632	12	33	0.3636363636363636	5	6	0.8333333333333334	4	19	23	9	10	2	4	15	77	1
"Wesley Johnson"	"Los Angeles Lakers"	135	320	0.421875	55	150	0.3666666666666666	33	40	0.825	34	113	147	65	44	46	51	112	358	-174
"Wesley Matthews"	"Portland Trail Blazers"	250	522	0.4789272030651341	115	272	0.4227941176470588	110	131	0.8396946564885496	32	143	175	103	43	7	54	86	725	224
"Will Barton"	"Portland Trail Blazers"	12	28	0.4285714285714285	4	11	0.3636363636363636	4	4	1.0	3	10	13	10	3	0	5	6	32	-9
"Will Bynum"	"Detroit Pistons"	83	189	0.4391534391534391	8	24	0.3333333333333333	41	52	0.7884615384615384	9	40	49	72	20	5	46	64	215	-75
"Willie Green"	"Los Angeles Clippers"	50	138	0.3623188405797101	21	63	0.3333333333333333	16	20	0.8	6	36	42	23	10	6	19	40	137	-14
"Wilson Chandler"	"Denver Nuggets"	164	393	0.4173027989821883	64	185	0.345945945945946	59	81	0.7283950617283951	31	129	160	52	31	25	34	99	451	-39
"Xavier Henry"	"Los Angeles Lakers"	102	240	0.425	20	59	0.3389830508474576	89	143	0.6223776223776224	18	68	86	36	33	5	43	58	313	2
"Zach Randolph"	"Memphis Grizzlies"	254	571	0.4448336252189142	0	7	0.0	140	183	0.7650273224043715	121	282	403	101	17	10	94	100	648	-33
"Zaza Pachulia"	"Milwaukee Bucks"	38	105	0.3619047619047619	0	1	0.0	42	45	0.9333333333333333	47	64	111	30	16	5	29	43	118	-52
